Conflict between other system and navigation,Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting
Bad instructions or difficulty interpreting,Communication failure,Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Conflict between other system and navigation
Searching what lane to take,Conflict between other system and navigation,Navigation and traffic related notifications,Communication failure,
Communication failure,Navigation and traffic related notifications,Navigation interferes with driving tasks,,
Bad instructions or difficulty interpreting,Navigation interferes with driving tasks,Searching what lane to take,,
Bad instructions or difficulty interpreting,Navigation interferes with driving tasks,,,
Searching what lane to take,Navigation system failure,,,
Route changes or suggestions,Route changes or suggestions,,,
Bad instructions or difficulty interpreting,,,,
Navigation system failure,,,,
Navigation interferes with driving tasks,,,,
Bad instructions or difficulty interpreting,,,,
Navigation interferes with driving tasks,,,,
Navigation and traffic related notifications,,,,
Navigation and traffic related notifications,,,,
