codes1,counts1
Bad instructions or difficulty interpreting,2
Communication failure,3
Conflict between other system and navigation,8
Message notifications interfere with navigation,3
Navigation and traffic related notifications,1
Navigation interferes with driving tasks,3
Navigation system failure,1
Route changes or suggestions,3
Searching what lane to take,5
codes2,counts2
Bad instructions or difficulty interpreting,2
Communication failure,1
Conflict between other system and navigation,4
Message notifications interfere with navigation,4
Navigation and traffic related notifications,3
Navigation interferes with driving tasks,3
Navigation system failure,3
Route changes or suggestions,2
Searching what lane to take,1
codes3,counts3
Bad instructions or difficulty interpreting,1
Communication failure,1
Conflict between other system and navigation,1
Navigation and traffic related notifications,2
Navigation interferes with driving tasks,1
Navigation system failure,2
Searching what lane to take,1
codes4,counts4
Navigation and traffic related notifications,1
Navigation interferes with driving tasks,1
Navigation system failure,1
Route changes or suggestions,1
Traffic camera notifications,1
codes5,counts5
Conflict between other system and navigation,2
Navigation and traffic related notifications,1
Communication failure,1
codes6,counts6
Bad instructions or difficulty interpreting,5
Communication failure,6
Conflict between other system and navigation,15
Message notifications interfere with navigation,7
Navigation and traffic related notifications,8
Navigation interferes with driving tasks,8
Navigation system failure,7
Route changes or suggestions,6
Searching what lane to take,7
Traffic camera notifications,1
