Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Navigation and traffic related notifications,Conflict between other system and navigation
Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Communication failure,Navigation interferes with driving tasks,Conflict between other system and navigation
Communication failure,Communication failure,Conflict between other system and navigation,Navigation system failure,Navigation and traffic related notifications
Communication failure,Conflict between other system and navigation,Navigation and traffic related notifications,Route changes or suggestions,Communication failure
Communication failure,Conflict between other system and navigation,Navigation and traffic related notifications,Traffic camera notifications,
Conflict between other system and navigation,Conflict between other system and navigation,Navigation interferes with driving tasks,,
Conflict between other system and navigation,Conflict between other system and navigation,Navigation system failure,,
Conflict between other system and navigation,Message notifications interfere with navigation,Navigation system failure,,
Conflict between other system and navigation,Message notifications interfere with navigation,Searching what lane to take,,
Conflict between other system and navigation,Message notifications interfere with navigation,,,
Conflict between other system and navigation,Message notifications interfere with navigation,,,
Conflict between other system and navigation,Navigation and traffic related notifications,,,
Conflict between other system and navigation,Navigation and traffic related notifications,,,
Message notifications interfere with navigation,Navigation and traffic related notifications,,,
Message notifications interfere with navigation,Navigation interferes with driving tasks,,,
Message notifications interfere with navigation,Navigation interferes with driving tasks,,,
Navigation and traffic related notifications,Navigation interferes with driving tasks,,,
Navigation interferes with driving tasks,Navigation system failure,,,
Navigation interferes with driving tasks,Navigation system failure,,,
Navigation interferes with driving tasks,Navigation system failure,,,
Navigation system failure,Route changes or suggestions,,,
Route changes or suggestions,Route changes or suggestions,,,
Route changes or suggestions,Searching what lane to take,,,
Route changes or suggestions,,,,
Searching what lane to take,,,,
Searching what lane to take,,,,
Searching what lane to take,,,,
Searching what lane to take,,,,
Searching what lane to take,,,,
