Bad instructions or difficulty interpreting,Conflict between other system and navigation,Conflict between other system and navigation,Traffic camera notifications
Conflict between other system and navigation,Conflict between other system and navigation,Traffic camera notifications,
Message notifications interfere with navigation,Conflict between other system and navigation,Conflict between other system and navigation,
Message notifications interfere with navigation,Route changes or suggestions,Searching what lane to take,
Navigation and traffic related notifications,Route changes or suggestions,Traffic camera notifications,
Navigation and traffic related notifications,Searching what lane to take,Navigation and traffic related notifications,
Navigation interferes with driving tasks,Searching what lane to take,,
Navigation interferes with driving tasks,Traffic camera notifications,,
Navigation system failure,Traffic camera notifications,,
Navigation system failure,,,
Route changes or suggestions,,,
Route changes or suggestions,,,
