Navigation interferes with driving tasks,Route changes or suggestions,Traffic camera notifications,Navigation and traffic related notifications,Communication failure
Navigation and traffic related notifications,Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Bad instructions or difficulty interpreting,Route changes or suggestions
Bad instructions or difficulty interpreting,Navigation interferes with driving tasks,Conflict between other system and navigation,Navigation system failure,Bad instructions or difficulty interpreting
Navigation interferes with driving tasks,Conflict between other system and navigation,Navigation and traffic related notifications,Navigation interferes with driving tasks,Conflict between other system and navigation
Route changes or suggestions,Message notifications interfere with navigation,Navigation system failure,Communication failure,Navigation and traffic related notifications
Conflict between other system and navigation,Route changes or suggestions,Bad instructions or difficulty interpreting,Traffic camera notifications,Conflict between other system and navigation
Bad instructions or difficulty interpreting,Navigation system failure,Navigation and traffic related notifications,Navigation and traffic related notifications,Conflict between other system and navigation
Navigation interferes with driving tasks,Traffic camera notifications,Navigation interferes with driving tasks,Traffic camera notifications,
Navigation system failure,Navigation system failure,Navigation interferes with driving tasks,Bad instructions or difficulty interpreting,
Route changes or suggestions,Navigation interferes with driving tasks,Navigation system failure,Route changes or suggestions,
Navigation interferes with driving tasks,Bad instructions or difficulty interpreting,Searching what lane to take,,
Route changes or suggestions,Conflict between other system and navigation,Traffic camera notifications,,
Traffic camera notifications,Communication failure,Communication failure,,
Bad instructions or difficulty interpreting,Conflict between other system and navigation,Conflict between other system and navigation,,
Conflict between other system and navigation,Navigation interferes with driving tasks,Navigation and traffic related notifications,,
Navigation and traffic related notifications,Navigation and traffic related notifications,Conflict between other system and navigation,,
Navigation system failure,Route changes or suggestions,Navigation and traffic related notifications,,
Navigation interferes with driving tasks,Navigation interferes with driving tasks,Searching what lane to take,,
Route changes or suggestions,Route changes or suggestions,Navigation system failure,,
Conflict between other system and navigation,Searching what lane to take,Bad instructions or difficulty interpreting,,
Conflict between other system and navigation,Navigation and traffic related notifications,Searching what lane to take,,
Bad instructions or difficulty interpreting,Searching what lane to take,,,
Searching what lane to take,Route changes or suggestions,,,
Communication failure,Navigation interferes with driving tasks,,,
Route changes or suggestions,Traffic camera notifications,,,
Searching what lane to take,Bad instructions or difficulty interpreting,,,
Message notifications interfere with navigation,Conflict between other system and navigation,,,
Bad instructions or difficulty interpreting,Conflict between other system and navigation,,,
Navigation interferes with driving tasks,Navigation and traffic related notifications,,,
Bad instructions or difficulty interpreting,Navigation interferes with driving tasks,,,
Conflict between other system and navigation,Message notifications interfere with navigation,,,
Message notifications interfere with navigation,Message notifications interfere with navigation,,,
Searching what lane to take,Navigation system failure,,,
Searching what lane to take,Conflict between other system and navigation,,,
Message notifications interfere with navigation,Message notifications interfere with navigation,,,
Navigation system failure,Searching what lane to take,,,
Searching what lane to take,Bad instructions or difficulty interpreting,,,
Route changes or suggestions,Conflict between other system and navigation,,,
Navigation and traffic related notifications,Conflict between other system and navigation,,,
Bad instructions or difficulty interpreting,Communication failure,,,
Conflict between other system and navigation,Navigation system failure,,,
Searching what lane to take,Navigation and traffic related notifications,,,
Bad instructions or difficulty interpreting,,,,
Conflict between other system and navigation,,,,
Searching what lane to take,,,,
Conflict between other system and navigation,,,,
Communication failure,,,,
Navigation and traffic related notifications,,,,
Navigation interferes with driving tasks,,,,
Communication failure,,,,
Conflict between other system and navigation,,,,
Message notifications interfere with navigation,,,,
Navigation system failure,,,,
Message notifications interfere with navigation,,,,
Conflict between other system and navigation,,,,
Searching what lane to take,,,,
Bad instructions or difficulty interpreting,,,,
Navigation and traffic related notifications,,,,
Communication failure,,,,
