codes1,counts1
Phone,8
Calling,8
Pets,2
Surroundings,3
Smartwatch,1
Messages,19
Navigation system,2
Unwelcome requests navigation,1
Route suggestions/changes,2
Other drivers,4
Unclear instructions navigation,1
Passengers,2
Notifications,3
Music,2
Traffic,3
Low arousal,1
Interruptions navigation system,1
Thoughts,1
Nomadic devices,1
Sunlight,1
Operating radio,1
codes2,counts2
Passengers,9
Interruptions navigation system,1
Advertisement,3
Messages,10
Other drivers,5
Calling,2
Operating smartphone,4
Operating radio,4
Food and drinks,1
Notifications,1
Thoughts,1
Smartwatch,1
Music,4
Traffic signs,2
Noise,1
Navigation system,2
Mental state,1
Traffic,3
Operating car features,1
Unwelcome requests navigation,1
Surroundings,1
Speed camera notifications,1
Sirens,1
Unclear instructions navigation,1
codes3,counts3
Phone,3
Food and drinks,1
Passengers,8
Surroundings,7
Fatigue,2
Notifications,1
Calling,3
Speed camera notifications,1
Taking wrong turn,1
Operating radio,3
Music,2
Messages,2
Other drivers,3
Navigation system,4
Lights,1
Too many activities,1
Sunlight,1
Operating smartphone,1
Advertisement,1
Traffic,1
codes4,counts4
Messages,4
Navigation system,3
Traffic,3
Calling,1
Traffic signs,2
Other drivers,3
Surroundings,2
Operating smartphone,2
Passengers,2
Talking,1
Mental state,3
Fatigue,1
Thoughts,3
Noise,1
Pets,1
Operating the car,1
Operating radio,1
codes5,counts5
Nomadic devices,1
Traffic,1
Navigation system,2
Surroundings,1
Unclear instructions,1
Thoughts,1
Passengers,6
Other drivers,1
Advertisement,2
Operating the car,1
Operating radio,1
Fatigue,1
Food and drinks,1
Phone,1
Sunlight,1
Speed camera notifications,1
Music,1
codes6,counts6
Phone,12
Calling,14
Pets,3
Surroundings,14
Smartwatch,2
Messages,35
Navigation system,13
Unwelcome requests navigation,2
Route suggestions/changes,2
Other drivers,16
Unclear instructions navigation,2
Passengers,27
Notifications,5
Music,9
Traffic,11
Low arousal,1
Interruptions navigation system,2
Thoughts,6
Nomadic devices,2
Sunlight,3
Operating radio,10
Advertisement,6
Operating smartphone,7
Food and drinks,3
Traffic signs,4
Noise,2
Mental state,4
Operating car features,1
Speed camera notifications,3
Sirens,1
Fatigue,4
Taking wrong turn,1
Lights,1
Too many activities,1
Talking,1
Operating the car,2
Unclear instructions,1
