test,n_1,n_2,diff,U,r,p
s_distraction_manual vs. i_distraction_manual,28,16,0.28571429,263.00000000,0.17410714,0.31685166
s_distraction_awareness vs. i_distraction_awareness,28,16,0.54464286,299.00000000,0.33482143,0.05039788
s_distraction_shift_focus vs. i_distraction_shift_focus,28,16,0.29464286,262.50000000,0.17187500,0.30544774
s_distraction_mental_load vs. i_distraction_mental_load,28,16,0.22321429,259.50000000,0.15848214,0.35059130
s_distraction_glance_frequency vs. i_distraction_glance_frequency,28,16,0.21428571,253.00000000,0.12946429,0.44265137
s_distraction_glance_duration vs. i_distraction_glance_duration,28,16,0.03571429,224.00000000,0.00000000,1.00000000
i_distraction_manual vs. z_distraction_manual,16,13,0.25000000,94.00000000,0.09615385,0.65702432
i_distraction_awareness vs. z_distraction_awareness,16,13,0.39903846,90.00000000,0.13461538,0.52572577
i_distraction_shift_focus vs. z_distraction_shift_focus,16,13,0.41826923,82.00000000,0.21153846,0.28695153
i_distraction_mental_load vs. z_distraction_mental_load,16,13,0.28365385,87.50000000,0.15865385,0.43855864
i_distraction_glance_frequency vs. z_distraction_glance_frequency,16,13,0.15384615,96.00000000,0.07692308,0.72709877
i_distraction_glance_duration vs. z_distraction_glance_duration,16,13,0.01923077,111.00000000,0.06730769,0.76513038
z_distraction_manual vs. s_distraction_manual,13,28,0.03571429,174.50000000,0.04120879,0.83634205
z_distraction_awareness vs. s_distraction_awareness,13,28,0.14560440,159.00000000,0.12637363,0.50712743
z_distraction_shift_focus vs. s_distraction_shift_focus,13,28,0.12362637,191.50000000,0.05219780,0.78787026
z_distraction_mental_load vs. s_distraction_mental_load,13,28,0.06043956,183.00000000,0.00549451,0.98790084
z_distraction_glance_frequency vs. s_distraction_glance_frequency,13,28,0.06043956,176.00000000,0.03296703,0.87105044
z_distraction_glance_duration vs. s_distraction_glance_duration,13,28,0.05494505,168.00000000,0.07692308,0.69050991
